state,zipcode,purchases,sex,golf,travel,fashion,outdoors,technology,economic class,offer,exposure id
VA,39139,10265.78,M,0,0,1,1,0,Poor,BlueElephant,b'q\x90\x15(\xbeZu\xdc\r\xdc\xa2M[F\t/(\xe7\xf5\xd9e\xb3\xe1\x19\xd6\x00HI\xad\xb9\xea\x0e'
AK,58829,12309.28,F,1,0,0,0,0,Affluent,BlueElephant,b'\xa7}\xcc\xe7\x8c\x01a\xc8\x04J\x8aBp\x0b\x05\x93\xb0\xf7\xcc\xac\xc4/\x06\x80m|r\x16\xabH`!'
UT,582,4663.3,F,0,1,0,1,0,Middle,GreenLemur,b'\xe0|N\x83\x9a&\xf1\x14M\x02\xda\xb8\xdc$\xc88\xf3K&\xb4\xe5\x9a\x1f8Da;[\x9d\x8e\xc3\xe1'
SD,77662,5691.94,M,0,0,0,0,0,Working,YellowSeal,b'\xd1\xdbNR\xe6k\x8e8M2\x16CAx\xbf\xc7\n\xf0\x1del\x15\xe8+b9#\x01\xe1\xb3\xacO'
CO,10028,970.66,M,0,1,0,0,0,Working,PurpleBear,b';~\xcd\xdb\xc1\xd8\x16\xd19W{\xf5\x90\n\\\xce\xd63\xd0b\xc20\x81\x01\xf3\x16C\xf3\xb8\xb8t\xe2'
GA,20938,13222.57,F,0,1,0,0,0,Middle,PurpleBear,b'\xba}N\xdf\xba\xc09\xb8\x1d&\x90a\t\x13D\x12\xb8\xbdp>DJ2\x8c5o\x17\x1c6B\x97?'
NY,74359,10269.48,M,0,1,0,0,0,Poor,GreenLemur,b'\x9d\xa3\xb8\x82)\xd9\xef\x83@\x8a\xa0+\x07\xdf\x10\xa02\x95\xb2Qj]\xa2\xfdL\x94\xf5\xe9\xbf\x18\x0bX'
NM,83922,2088.07,F,0,1,0,0,0,Affluent,BlueElephant,b'I\x82\xd3\x93\x18\xdd\xd8\x9dR\xab\xd0)\xb1\xd0\x1d\xb4\xf7\xf4\xd4|\x02\xf5\xbd\xd7\xf6\x8d\x8ev\xd4\xf8\xb4\xb5'
NY,31758,2779.59,F,0,1,1,1,0,Affluent,PurpleBear,b'\x05\xeb58\xa25I\xb8\xb6\x98\xe4\x04?<\xefC\xbe\xdd\xf4Q\xd7\xe5\xda\xf8\x11\xfaid\x02\xac\xe2\x0e'
NE,92955,4702.98,M,0,1,0,0,0,Working,PurpleBear,b'<\x02)\xdfF\x81\xa8\xbc\xf8N\x07\x8fQ\x8a\xaf\xb2\x839\x9bi_\xe1\xb7&\xdci\xfb\xeab\xf9\xad\x08'
